         24986 function calls (24084 primitive calls) in 0.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       17    0.000    0.000    0.000    0.000 argparse.py:557(format)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        4    0.000    0.000    0.000    0.000 argparse.py:952(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:913(_StoreAction)
       34    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1333(Namespace)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       32    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 argparse.py:1157(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1714(_MutuallyExclusiveGroup)
       34    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       77    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        8    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
       47    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 glob.py:527(_StringGlobber)
       17    0.000    0.000    0.000    0.000 argparse.py:1633(_check_conflict)
        3    0.000    0.000    0.000    0.000 argparse.py:977(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        4    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 traceback.py:428(StackSummary)
        4    0.000    0.000    0.000    0.000 argparse.py:2543(_get_value)
       22    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       17    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       14    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        9    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:987(_find_data_type_)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       39    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 traceback.py:997(TracebackException)
        2    0.000    0.000    0.000    0.000 <frozen os>:1127(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        8    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 enum.py:1014(_find_new_)
        7    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
        3    0.000    0.000    0.000    0.000 argparse.py:1624(_get_handler)
        7    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       18    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        3    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        7    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       21    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        4    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       17    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
       17    0.000    0.000    0.000    0.000 argparse.py:205(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:276(FrameSummary)
        1    0.000    0.000    0.000    0.000 argparse.py:1109(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:1337(value)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        7    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1185(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1015(__init__)
       11    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1084(__init__)
        3    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
        1    0.000    0.000    0.000    0.000 _abc.py:55(ParserBase)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        2    0.000    0.000    0.000    0.000 argparse.py:2414(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.000    0.000 _colorize.py:13(ANSIColors)
        1    0.000    0.000    0.000    0.000 argparse.py:1353(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 enum.py:346(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
       10    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 types.py:334(__getattr__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
       11    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
        8    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 warnings.py:518(deprecated)
       10    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:936(_check_for_existing_members_)
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(get_filename)
       11    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
